filename|id|last_visited_date|next_visit_in
starter_1|45|26Sep2024|1
sf1Concepts_1|1704786298378|13Oct2024|10
sf1Concepts_1|seed|27Sep2024|3
sf1Concepts_1|1704786661708|22Oct2024|8
sf1Concepts_1|1709548990743|22Oct2024|8
sf1Concepts_1|1704786359487|22Oct2024|8
aw1intro_1|1720965089|14Oct2024|15
aw1intro_1|1720965151|14Oct2024|15
aw1intro_1|1720965174|14Oct2024|15
aw1intro_1|1720965197|14Oct2024|15
py1basics_1|1685259800875|13Oct2024|15
py1basics_1|1685259919444|13Oct2024|15
py1basics_1|1685260059948|13Oct2024|15
py1basics_1|1698727725678|13Oct2024|15
py1basics_1|1698727967889|13Oct2024|15
kka1Concepts_1|45|14Oct2024|10
kka1Concepts_1|66|14Oct2024|10
kka1Concepts_1|1712330435713|14Oct2024|10
kka1Concepts_1|1712330830657|14Oct2024|10
kka1Concepts_1|1712330229481|14Oct2024|10
kka1Concepts_1|1712330531996|14Oct2024|10
kka1Concepts_1|1712331421750|14Oct2024|10
sf1Concepts_1|1704786347678|22Oct2024|8
sf1Concepts_1|1709548876390|22Oct2024|8
sf1Concepts_1|1709548997137|22Oct2024|8
sf1Concepts_1|1709549178164|22Oct2024|8
sf1Concepts_1|1709549302125|22Oct2024|8
sf1Concepts_1|1709549307931|22Oct2024|8
todo_1|1682864166592|13Oct2024|7
dbt_1|1699934626118|20Oct2024|10
dbt_1|1699935559895|20Oct2024|10
sp1Concepts_1|1681716791137|13Oct2024|15
sp1Concepts_1|1681716976777|13Oct2024|15
sp1Concepts_1|1679715651217|13Oct2024|15
bl1intro_1|45|20Oct2024|10
bl1intro_1|66|20Oct2024|10
bl1intro_1|68|20Oct2024|10
sf1Concepts_1|1709549875289|25Oct2024|10
sf1Concepts_1|1709550035930|25Oct2024|10
sf1Concepts_1|1709550115666|25Oct2024|10
py1basics_1|1698727713673|13Oct2024|15
dwh1intro_1|1728824252|22Oct2024|7
dwh1intro_1|1720961704|22Oct2024|7
dwh1intro_1|1720961816|22Oct2024|7
dwh1intro_1|1720961792|25Oct2024|10
dwh1intro_1|1728822873|25Oct2024|10
py1basics_1|1698726635873|18Oct2024|16
py1basics_1|1698726653443|14Oct2024|20
py1basics_1|1698726980289|14Oct2024|20
sf1Concepts_1|1704787008261|14Oct2024|20
sf1Concepts_1|1704787113672|14Oct2024|20
sf1Concepts_1|1713612732|14Oct2024|20
hv1intro_1|1707712468776|14Oct2024|20
hv1intro_1|1707712361803|14Oct2024|20
bl1intro_1|1712719432275|20Oct2024|10
bl1intro_1|1712719832939|20Oct2024|10
bl1intro_1|1712818224017|20Oct2024|10
bl1intro_1|1712818598288|20Oct2024|10
bl1intro_1|1712821353740|20Oct2024|10
sf1Concepts_1|1713613122|14Oct2024|10
sf1Concepts_1|1726663852|20Oct2024|7
sf1Concepts_1|1726663991|20Oct2024|7
sf1Concepts_1|1713613124|14Oct2024|10
sf1Concepts_1|1713613125|14Oct2024|10
sf1Concepts_1|1713613126|14Oct2024|10
sf1Concepts_1|1713613123|14Oct2024|10
sp1Code_1|1680961120775|14Oct2024|20
sp1Code_1|1680961286163|14Oct2024|20
sp1Code_1|1680961531718|14Oct2024|20
sp1Code_1|1680961351483|14Oct2024|20
py1basics_1|1690875626919|25Oct2024|7
py1basics_1|1685247052308|18Oct2024|7
py1basics_1|1685247436558|18Oct2024|7
py1basics_1|1690875175553|18Oct2024|7
py1basics_1|1690875571098|18Oct2024|7
kka1Concepts_1|1714812975|20Oct2024|5
sp1Concepts_1|1681967266767|20Oct2024|20
sp1Concepts_1|1681966954175|20Oct2024|20
sp1Concepts_1|1679715658244|20Oct2024|20
py1basics_1|1698727216288|20Oct2024|10
py1basics_1|1698727225598|20Oct2024|10
py1basics_1|1698727337083|20Oct2024|10
py1basics_1|1698727518794|20Oct2024|10
py1basics_1|1698727851852|20Oct2024|20
dwh1intro_1|1728912869|20Oct2024|5
dwh1intro_1|1728920199|20Oct2024|5
dwh1intro_1|1728920181|20Oct2024|5
dwh1intro_1|1728913303|20Oct2024|5
sf1Concepts_1|1716308000|20Oct2024|7
sf1Concepts_1|1716308001|20Oct2024|7
aw1intro_1|1719923810|20Oct2024|10
aw1intro_1|1719923879|20Oct2024|10
aw1intro_1|1719923893|20Oct2024|10
aw1intro_1|1729451350|20Oct2024|10
bl1intro_1|1712821389892|20Oct2024|10
sp1Code_1|1682352260216|22Oct2024|20
sp1Code_1|1682352322759|22Oct2024|20
sp1Code_1|1682352799303|22Oct2024|20
sp1Code_1|1682353175166|22Oct2024|20
sp1Code_1|1682353292787|22Oct2024|20
sp1Code_1|1682354117638|22Oct2024|20
sp1Code_1|1682354181479|22Oct2024|20
dwh1intro_1|1720961623|25Oct2024|15
dwh1intro_1|1720961660|25Oct2024|15
dwh1intro_1|1720961854|25Oct2024|15
dwh1intro_1|1729452141|25Oct2024|8
dwh1intro_1|1729452196|25Oct2024|8
dwh1intro_1|1729452611|25Oct2024|8
